Mon Oct 31 16:25:19 2022    profiling_saves/first_profile.stat

         904343 function calls (903380 primitive calls) in 328.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.7/logging/__init__.py:1491(_log)
        3    0.000    0.000    0.004    0.001 /usr/lib/python3.7/multiprocessing/context.py:99(Queue)
       19    0.000    0.000    0.004    0.000 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:197(schedule)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:621(__init__)
        3    0.000    0.000    0.003    0.001 /usr/lib/python3.7/multiprocessing/queues.py:36(__init__)
        1    0.003    0.003    0.003    0.003 {method 'random_' of 'torch._C._TensorBase' objects}
       19    0.003    0.000    0.003    0.000 /usr/local/lib/python3.7/dist-packages/zmq/sugar/socket.py:543(send)
        2    0.000    0.000    0.003    0.002 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:216(zero_grad)
        2    0.000    0.000    0.003    0.001 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:30(_make_grads)
        2    0.003    0.001    0.003    0.001 {built-in method torch.ones_like}
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:1516(handle)
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:1570(callHandlers)
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:881(handle)
      400    0.003    0.000    0.003    0.000 {built-in method torch.argmin}
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:1118(emit)
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:1013(emit)
        6    0.000    0.000    0.003    0.000 /usr/lib/python3.7/logging/__init__.py:1356(debug)
       62    0.003    0.000    0.003    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.003    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/wandb_run.py:1907(<lambda>)
        8    0.000    0.000    0.003    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/wandb_run.py:1288(_console_raw_callback)
        8    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface.py:614(publish_output_raw)
       14    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_sock.py:49(_publish)
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.7/multiprocessing/queues.py:80(put)
        7    0.000    0.000    0.002    0.000 /usr/lib/python3.7/logging/__init__.py:1002(flush)
      124    0.002    0.000    0.002    0.000 {built-in method torch.zeros_like}
       14    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:218(send_record_publish)
        7    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      248    0.002    0.000    0.002    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
       14    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:154(send_server_request)
       14    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:145(_send_message)
    19168    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      122    0.001    0.000    0.002    0.000 /usr/lib/python3.7/multiprocessing/process.py:144(is_alive)
        3    0.000    0.000    0.002    0.001 /usr/lib/python3.7/multiprocessing/connection.py:506(Pipe)
        8    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:72(_publish_output_raw)
        5    0.002    0.000    0.002    0.000 {built-in method posix.pipe}
        6    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/dist-packages/torch/_tensor.py:713(__iter__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:99(_check_capability)
        6    0.002    0.000    0.002    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:349(get_device_properties)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:332(get_device_capability)
       14    0.001    0.000    0.001    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:50(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method torch.cuda._get_device_properties}
       14    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/sock_client.py:121(_sendall_with_error_handle)
      856    0.001    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1194(__getattr__)
       14    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/ipykernel/iostream.py:386(write)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.7/logging/__init__.py:1368(info)
       77    0.000    0.000    0.001    0.000 /usr/lib/python3.7/threading.py:240(__enter__)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:84(_cuda_graph_capture_health_check)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.7/multiprocessing/context.py:64(Lock)
        2    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/dist-packages/torch/cuda/graphs.py:18(is_current_stream_capturing)
       77    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      124    0.001    0.000    0.001    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
        2    0.001    0.001    0.001    0.001 {built-in method torch._C._cuda_isCurrentStreamCapturing}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:74(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:33(__init__)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:161(__init__)
      568    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:81(_publish_partial_history)
      123    0.000    0.000    0.001    0.000 /usr/lib/python3.7/multiprocessing/popen_fork.py:25(poll)
       63    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1621(parameters)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.7/multiprocessing/queues.py:155(_start_thread)
       63    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1645(named_parameters)
       63    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1608(_named_members)
      123    0.001    0.000    0.001    0.000 {built-in method posix.waitpid}
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.7/logging/__init__.py:1476(makeRecord)
       14    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/dist-packages/joblib/externals/loky/backend/__init__.py:7(_make_name)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.7/logging/__init__.py:282(__init__)
