Wed Feb  1 17:32:48 2023    src/profiling/third_profile.stat

         65671839 function calls (65629444 primitive calls) in 2632.358 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50148    0.022    0.000    0.022    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
   209541    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
      224    0.002    0.000    0.021    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/pooling.py:165(forward)
      182    0.009    0.000    0.020    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
      224    0.001    0.000    0.019    0.000 /usr/local/lib/python3.8/dist-packages/torch/_jit_internal.py:475(fn)
    17/14    0.000    0.000    0.018    0.001 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:201(_lazy_init)
      224    0.001    0.000    0.018    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:760(_max_pool2d)
      224    0.018    0.000    0.018    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
      224    0.017    0.000    0.017    0.000 {built-in method torch.max_pool2d}
      325    0.005    0.000    0.017    0.000 /usr/local/lib/python3.8/dist-packages/torch/autograd/profiler.py:487(__enter__)
       91    0.001    0.000    0.016    0.000 /usr/lib/python3.8/multiprocessing/context.py:65(Lock)
       91    0.000    0.000    0.015    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:161(__init__)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:108(_check_capability)
15973/14519    0.006    0.000    0.014    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:523(device_count)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:507(_device_count_nvml)
        1    0.013    0.013    0.014    0.014 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:490(_raw_device_count_nvml)
      325    0.002    0.000    0.013    0.000 /usr/local/lib/python3.8/dist-packages/torch/autograd/profiler.py:478(__init__)
    24006    0.005    0.000    0.013    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/data/sampler.py:117(__iter__)
      272    0.002    0.000    0.011    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/data_types/utils.py:32(history_dict_to_json)
      150    0.000    0.000    0.011    0.000 /usr/local/lib/python3.8/dist-packages/ipykernel/iostream.py:323(_schedule_flush)
      325    0.011    0.000    0.011    0.000 {built-in method torch.zeros}
      700    0.004    0.000    0.011    0.000 /usr/lib/python3.8/multiprocessing/process.py:153(is_alive)
      272    0.005    0.000    0.011    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface_shared.py:119(_make_request)
        1    0.001    0.001    0.010    0.010 {method 'dump' of '_pickle.Pickler' objects}
   828/12    0.002    0.000    0.010    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1892(train)
      325    0.010    0.000    0.010    0.000 {built-in method torch._ops.profiler._record_function_enter}
      943    0.001    0.000    0.010    0.000 /usr/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
      302    0.003    0.000    0.010    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/data_types/utils.py:60(val_to_json)
     4480    0.005    0.000    0.009    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/batchnorm.py:408(_check_input_dim)
     1116    0.009    0.000    0.009    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
        1    0.009    0.009    0.009    0.009 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:289(__exit__)
      119    0.001    0.000    0.008    0.000 /usr/lib/python3.8/logging/__init__.py:1550(makeRecord)
      119    0.004    0.000    0.008    0.000 /usr/lib/python3.8/logging/__init__.py:288(__init__)
      182    0.001    0.000    0.008    0.000 /usr/local/lib/python3.8/dist-packages/joblib/externals/loky/backend/__init__.py:7(_make_name)
       13    0.000    0.000    0.007    0.001 /usr/lib/python3.8/threading.py:979(join)
      930    0.004    0.000    0.007    0.000 /usr/lib/python3.8/threading.py:1071(is_alive)
      150    0.001    0.000    0.007    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/internal/well_known_types.py:192(GetCurrentTime)
      593    0.002    0.000    0.007    0.000 /usr/lib/python3.8/threading.py:341(notify)
       52    0.003    0.000    0.006    0.000 /usr/lib/python3.8/threading.py:761(__init__)
      182    0.001    0.000    0.006    0.000 /usr/lib/python3.8/tempfile.py:283(__next__)
        6    0.000    0.000    0.006    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1914(eval)
      422    0.006    0.000    0.006    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
     1034    0.001    0.000    0.006    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
       24    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      119    0.000    0.000    0.006    0.000 /usr/lib/python3.8/logging/__init__.py:918(format)
      150    0.001    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/internal/well_known_types.py:240(FromDatetime)
     4480    0.003    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/torch/backends/__init__.py:31(__get__)
     1568    0.003    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/container.py:194(__iter__)
      119    0.001    0.000    0.005    0.000 /usr/lib/python3.8/logging/__init__.py:655(format)
       50    0.001    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/autograd/__init__.py:47(_make_grads)
        6    0.005    0.001    0.005    0.001 {method 'tolist' of 'torch._C._TensorBase' objects}
      224    0.005    0.000    0.005    0.000 {built-in method torch.flatten}
     2684    0.002    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:584(persistent_id)
     2877    0.002    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1790(children)
     1034    0.005    0.000    0.005    0.000 {method '__enter__' of '_thread.lock' objects}
     1000    0.004    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:2402(_verify_batch_size)
