Mon Oct 31 18:50:26 2022    profiling_saves/second_profile.stat

         125222734 function calls (125180456 primitive calls) in 947.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1054    0.006    0.000    0.006    0.000 {built-in method torch._has_compatible_shallow_copy_type}
     1110    0.001    0.000    0.006    0.000 /usr/local/lib/python3.7/dist-packages/torch/autograd/grad_mode.py:135(__exit__)
       24    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       28    0.006    0.000    0.006    0.000 /usr/lib/python3.7/logging/__init__.py:221(_releaseLock)
        6    0.006    0.001    0.006    0.001 {method 'tolist' of 'torch._C._TensorBase' objects}
      150    0.001    0.000    0.006    0.000 /usr/local/lib/python3.7/dist-packages/google/protobuf/internal/well_known_types.py:197(GetCurrentTime)
        6    0.000    0.000    0.005    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1842(eval)
      422    0.005    0.000    0.005    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
      119    0.000    0.000    0.005    0.000 /usr/lib/python3.7/logging/__init__.py:858(format)
      182    0.001    0.000    0.005    0.000 /usr/lib/python3.7/tempfile.py:295(<listcomp>)
     2877    0.002    0.000    0.005    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1719(children)
     1000    0.005    0.000    0.005    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:2390(_verify_batch_size)
        1    0.005    0.005    0.005    0.005 {built-in method torch._C._cuda_init}
      119    0.001    0.000    0.005    0.000 /usr/lib/python3.7/logging/__init__.py:595(format)
